,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.6178333333333333,0.735868643086744,0.6173947562625209,0.6178333333333333,0.6176057955571502,0.33090591929143737
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0
KNN,0.6813333333333333,0.7862599302897381,0.6928927879018575,0.6813333333333333,0.6765497218620369,0.4336773143229544
Naive Bayes,0.49683333333333335,0.5905907589143738,0.4509608761110629,0.49683333333333335,0.46144219241587636,0.06862144033571935
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0
